title,author,length
Darius,By: J.R. Ward,Length: 6 hrs and 57 mins
The Seventh Princess,By: D.C. Haenlien,Length: 12 hrs
The Inn on Harmony Island,By: Anne-Marie Meyer,Length: 7 hrs and 13 mins
Summer of '85,"By: Chris Morrow, Kevin Hart, Charlamagne Tha God, SBH Productions",Length: 4 hrs and 47 mins
Murder at the Dressmaker's Salon,By: C.J. Archer,Length: 8 hrs and 26 mins
Swing,By: Ashleigh Renard,Length: 9 hrs and 13 mins
Jesus Through the Eyes of Women,By: Rebecca McLaughlin,Length: 4 hrs and 16 mins
Temporary Partner,By: Nicky James,Length: 10 hrs and 15 mins
Sean (SJ),By: Jan Stryvant,Length: 9 hrs and 10 mins
Five Leaf Clover,By: Mark Hayden,Length: 10 hrs and 49 mins
Armor,By: C.B. Titus,Length: 12 hrs and 25 mins
The Liching Hour,By: Rick Gualtieri,Length: 14 hrs and 9 mins
